sample,group
WT1,WT
WT2,WT
WT3,WT
WT4,WT
WT5,WT
WT6,WT
WT7,WT
WT8,WT
WT9,WT
WT10,WT
WT11,WT
WT12,WT
WT13,WT
WT14,WT
WT15,WT
WT16,WT
WT17,WT
WT18,WT
WT19,WT
WT20,WT
WT21,WT
WT22,WT
WT23,WT
WT24,WT
WT25,WT
WT26,WT
WT27,WT
WT28,WT
WT29,WT
WT30,WT
WT31,WT
WT32,WT
WT33,WT
WT34,WT
WT35,WT
WT36,WT
WT37,WT
WT38,WT
WT39,WT
WT40,WT
WT41,WT
WT42,WT
WT43,WT
WT44,WT
WT45,WT
WT46,WT
WT47,WT
WT48,WT
KO1,KO
KO2,KO
KO3,KO
KO4,KO
KO5,KO
KO6,KO
KO7,KO
KO8,KO
KO9,KO
KO10,KO
KO11,KO
KO12,KO
KO13,KO
KO14,KO
KO15,KO
KO16,KO
KO17,KO
KO18,KO
KO19,KO
KO20,KO
KO21,KO
KO22,KO
KO23,KO
KO24,KO
KO25,KO
KO26,KO
KO27,KO
KO28,KO
KO29,KO
KO30,KO
KO31,KO
KO32,KO
KO33,KO
KO34,KO
KO35,KO
KO36,KO
KO37,KO
KO38,KO
KO39,KO
KO40,KO
KO41,KO
KO42,KO
KO43,KO
KO44,KO
KO45,KO
KO46,KO
KO47,KO
KO48,KO
